Index	ROI	Amplicon	Location	Direction	Cov fwd (avg)	Cov rev (avg)	Cov. Info	Called bp	Required	Quality	Expected	QS fwd (avg)	QS rev (avg)	Aligned Reads	Pool-Ratio Aligned Reads	Aligned Tagged Reads	Mean RD	Multiplex No.	Comment
1	rs10530949	1	[23..48]	both	583	581		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1166			1164		
2	rs10532209	1	[24..49]	both	939	939		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1878			1878		
3	rs10533313	1	[23..42]	both	1284	1285		100% (20/20)	100% (20/20)		100% (20/20)	38	38	2571			2570		
4	rs10537580	1	[23..47]	both	1192	1194		100% (25/25)	100% (25/25)		100% (25/25)	38	38	2387			2386		
5	rs10558626	1	[23..46]	both	737	738		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1476			1475		
6	rs10573809	1	[24..52]	both	1016	1016		100% (29/29)	100% (29/29)		100% (29/29)	38	38	2033			2032		
7	rs10580274	1	[23..46]	both	1254	1255		100% (24/24)	100% (24/24)		100% (24/24)	38	38	2510			2509		
8	rs10590825	1	[21..51]	both	692	691		100% (31/31)	100% (31/31)		100% (31/31)	38	37	1383			1383		
9	rs10635904_2	1	[21..42]	both	265	265		100% (22/22)	100% (22/22)		100% (22/22)	38	38	530			530		
10	rs10643768	1	[25..44]	both	1277	1277		100% (20/20)	100% (20/20)		100% (20/20)	38	38	2556			2554		
11	rs10651088	1	[21..50]	both	954	954		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1910			1908		
12	rs10661998	1	[23..48]	both	911	910		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1823			1821		
13	rs10664883	1	[22..45]	both	542	542		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1084			1084		
14	rs10665698	1	[24..45]	both	1347	1346		100% (22/22)	100% (22/22)		100% (22/22)	38	38	2695			2693		
15	rs10668644	1	[21..51]	both	804	803		100% (31/31)	100% (31/31)		100% (31/31)	38	38	1607			1607		
16	rs10690687	1	[21..30]	both	803	803		100% (10/10)	100% (10/10)		100% (10/10)	38	38	1606			1606		
17	rs10701414	1	[26..50]	both	835	837		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1674			1672		
18	rs111358816	1	[21..37]	both	733	733		100% (17/17)	100% (17/17)		100% (17/17)	38	38	1466			1466		
19	rs111576638	1	[22..41]	both	1038	1038		100% (20/20)	100% (20/20)		100% (20/20)	38	38	2078			2076		
20	rs112198516	1	[21..48]	both	1013	1014		100% (28/28)	100% (28/28)		100% (28/28)	38	38	2028			2027		
21	rs112261997	1	[21..38]	both	1697	1699		100% (18/18)	100% (18/18)		100% (18/18)	38	38	3397			3396		
22	rs112558520	1	[25..49]	both	951	954		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1910			1906		
23	rs112637350	1	[26..57]	both	658	657		100% (32/32)	100% (32/32)		100% (32/32)	38	38	1316			1315		
24	rs112756113	1	[21..36]	both	830	828		100% (16/16)	100% (16/16)		100% (16/16)	38	38	1662			1659		
25	rs11280910	1	[24..52]	both	723	722		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1445			1445		
26	rs112815220_1	1	[24..34]	both	392	392		100% (11/11)	100% (11/11)		100% (11/11)	38	38	784			784		
27	rs112818935	1	[22..48]	both	1092	1090		100% (27/27)	100% (27/27)		100% (27/27)	38	38	2182			2182		
28	rs112871841	1	[22..47]	both	945	943		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1892			1889		
29	rs113743486	1	[21..50]	both	884	882		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1766			1766		
30	rs113928708	1	[25..38]	both	982	982		100% (14/14)	100% (14/14)		100% (14/14)	38	38	1964			1964		
31	rs137925637	1	[21..48]	both	812	815		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1629			1627		
32	rs137974198	1	[19..44]	both	777	777		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1554			1554		
33	rs140014417	1	[22..51]	both	680	681		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1362			1361		
